,Text
180,"Given an encoding of the known background knowledge and a set of examples represented as a logical database of facts, an ILP system will derive a hypothesized logic program thatentailsall positive and no negative examples.Inductive programmingis a related field that considers any kind of programming language for representing hypotheses (and not only logic programming), such asfunctional programs.Inductive logic programming is particularly useful inbioinformaticsandnatural language processing.Gordon PlotkinandEhud Shapirolaid the initial theoretical foundation for inductive machine learning in a logical setting."
181,[80][81][82]Shapiro built their first implementation (Model Inference System) in 1981: aPrologprogram that inductively inferred logic programs from positive and negative examples.
182,"[83]The terminductivehere refers tophilosophicalinduction, suggesting a theory to explain observed facts, rather thanmathematical induction, proving a property for all members of a well-ordered set.Models[edit]Amachine learning modelis a type ofmathematical modelthat, once ""trained"" on a given dataset, can be used to make predictions or classifications on new data."
183,"During training, a learning algorithm iteratively adjusts the model's internal parameters to minimise errors in its predictions."
184,"[84]By extension, the term ""model"" can refer to several levels of specificity, from a general class of models and their associated learning algorithms to a fully trained model with all its internal parameters tuned."
185,"[85]Various types of models have been used and researched for machine learning systems, picking the best model for a task is calledmodel selection.Artificial neural networks[edit]Main article:Artificial neural networkSee also:Deep learningAn artificial neural network is an interconnected group of nodes, akin to the vast network ofneuronsin abrain."
186,"Here, each circular node represents anartificial neuronand an arrow represents a connection from the output of one artificial neuron to the input of another.Artificial neural networks (ANNs), orconnectionistsystems, are computing systems vaguely inspired by thebiological neural networksthat constitute animalbrains."
187,"Such systems ""learn"" to perform tasks by considering examples, generally without being programmed with any task-specific rules.An ANN is a model based on a collection of connected units or nodes called ""artificial neurons"", which loosely model theneuronsin a biological brain."
188,"Each connection, like thesynapsesin a biological brain, can transmit information, a ""signal"", from one artificial neuron to another."
189,An artificial neuron that receives a signal can process it and then signal additional artificial neurons connected to it.
190,"In common ANN implementations, the signal at a connection between artificial neurons is areal number, and the output of each artificial neuron is computed by some non-linear function of the sum of its inputs."
191,"The connections between artificial neurons are called ""edges""."
192,Artificial neurons and edges typically have aweightthat adjusts as learning proceeds.
193,The weight increases or decreases the strength of the signal at a connection.
194,Artificial neurons may have a threshold such that the signal is only sent if the aggregate signal crosses that threshold.
195,"Typically, artificial neurons are aggregated into layers."
196,Different layers may perform different kinds of transformations on their inputs.
197,"Signals travel from the first layer (the input layer) to the last layer (the output layer), possibly after traversing the layers multiple times.The original goal of the ANN approach was to solve problems in the same way that ahuman brainwould."
198,"However, over time, attention moved to performing specific tasks, leading to deviations frombiology."
199,"Artificial neural networks have been used on a variety of tasks, includingcomputer vision,speech recognition,machine translation,social networkfiltering,playing board and video gamesandmedical diagnosis.Deep learningconsists of multiple hidden layers in an artificial neural network."
200,This approach tries to model the way the human brain processes light and sound into vision and hearing.
201,Some successful applications of deep learning are computer vision and speech recognition.
202,[86]Decision trees[edit]Main article:Decision tree learningA decision tree showing survival probability of passengers on theTitanicDecision tree learning uses adecision treeas apredictive modelto go from observations about an item (represented in the branches) to conclusions about the item's target value (represented in the leaves).
203,"It is one of the predictive modelling approaches used in statistics, data mining, and machine learning."
204,"Tree models where the target variable can take a discrete set of values are called classification trees; in these tree structures,leavesrepresent class labels, and branches representconjunctionsof features that lead to those class labels."
205,Decision trees where the target variable can take continuous values (typicallyreal numbers) are called regression trees.
206,"In decision analysis, a decision tree can be used to visually and explicitly represent decisions anddecision making."
207,"In data mining, a decision tree describes data, but the resulting classification tree can be an input for decision-making.Random forest regression[edit]Random forest regression(RFR) falls under the umbrella of decisiontree-based models."
208,RFR is an ensemble learning method that builds multiple decision trees and averages their predictions to improve accuracy and to avoid overfitting.
209,"To build decision trees, RFR uses bootstrapped sampling; for instance, each decision tree is trained on random data from the training set."
210,This random selection of RFR for training enables the model to reduce biased predictions and achieve a higher degree of accuracy.
211,"RFR generates independent decision trees, and it can work on single-output data as well as multiple regressor tasks."
212,This makes RFR compatible to be use in various applications.
213,"[87][88]Support-vector machines[edit]Main article:Support-vector machineSupport-vector machines (SVMs), also known as support-vector networks, are a set of relatedsupervised learningmethods used for classification and regression."
214,"Given a set of training examples, each marked as belonging to one of two categories, an SVM training algorithm builds a model that predicts whether a new example falls into one category."
215,"[89]An SVM training algorithm is a non-probabilistic,binary,linear classifier, although methods such asPlatt scalingexist to use SVM in a probabilistic classification setting."
216,"In addition to performing linear classification, SVMs can efficiently perform a non-linear classification using what is called thekernel trick, implicitly mapping their inputs into high-dimensional feature spaces.Regression analysis[edit]Main article:Regression analysisIllustration of linear regression on a data setRegression analysis encompasses a large variety of statistical methods to estimate the relationship between input variables and their associated features."
217,"Its most common form islinear regression, where a single line is drawn to best fit the given data according to a mathematical criterion such asordinary least squares."
218,"The latter is often extended byregularisationmethods to mitigate overfitting and bias, as inridge regression."
219,"When dealing with non-linear problems, go-to models includepolynomial regression(for example, used for trendline fitting in Microsoft Excel[90]),logistic regression(often used instatistical classification) or evenkernel regression, which introduces non-linearity by taking advantage of thekernel trickto implicitly map input variables to higher-dimensional space.Multivariate linear regressionextends the concept of linear regression to handle multiple dependent variables simultaneously."
220,This approach estimates the relationships between a set of input variables and several output variables by fitting amultidimensionallinear model.
221,"It is particularly useful in scenarios where outputs are interdependent or share underlying patterns, such as predicting multiple economic indicators or reconstructing images,[91]which are inherently multi-dimensional.Bayesian networks[edit]Main article:Bayesian networkA simple Bayesian network."
222,"Rain influences whether the sprinkler is activated, and both rain and the sprinkler influence whether the grass is wet.A Bayesian network, belief network, or directed acyclic graphical model is a probabilisticgraphical modelthat represents a set ofrandom variablesand theirconditional independencewith adirected acyclic graph(DAG)."
223,"For example, a Bayesian network could represent the probabilistic relationships between diseases and symptoms."
224,"Given symptoms, the network can be used to compute the probabilities of the presence of various diseases."
225,Efficient algorithms exist that performinferenceand learning.
226,"Bayesian networks that model sequences of variables, likespeech signalsorprotein sequences, are calleddynamic Bayesian networks."
227,"Generalisations of Bayesian networks that can represent and solve decision problems under uncertainty are calledinfluence diagrams.Gaussian processes[edit]Main article:Gaussian processesAn example of Gaussian Process Regression (prediction) compared with other regression models[92]A Gaussian process is astochastic processin which every finite collection of the random variables in the process has amultivariate normal distribution, and it relies on a pre-definedcovariance function, or kernel, that models how pairs of points relate to each other depending on their locations.Given a set of observed points, or input–output examples, the distribution of the (unobserved) output of a new point as a function of its input data can be directly computed by looking at the observed points and the covariances between those points and the new, unobserved point.Gaussian processes are popular surrogate models inBayesian optimisationused to dohyperparameter optimisation.Genetic algorithms[edit]Main article:Genetic algorithmA genetic algorithm (GA) is asearch algorithmandheuristictechnique that mimics the process ofnatural selection, using methods such asmutationandcrossoverto generate newgenotypesin the hope of finding good solutions to a given problem."
228,"In machine learning, genetic algorithms were used in the 1980s and 1990s."
229,"[93][94]Conversely, machine learning techniques have been used to improve the performance of genetic andevolutionary algorithms."
230,"[95]Belief functions[edit]Main article:Dempster–Shafer theoryThe theory of belief functions, also referred to as evidence theory or Dempster–Shafer theory, is a general framework for reasoning with uncertainty, with understood connections to other frameworks such asprobability,possibilityandimprecise probability theories."
231,"These theoretical frameworks can be thought of as a kind of learner and have some analogous properties of how evidence is combined (e.g.,  Dempster's rule of combination), just like how in apmf-based Bayesian approach would combine probabilities."
232,"[96]However, there are many caveats to these beliefs functions when compared to Bayesian approaches to incorporate ignorance anduncertainty quantification."
233,"These belief function approaches that are implemented within the machine learning domain typically leverage a fusion approach of variousensemble methodsto better handle the learner'sdecision boundary, low samples, and ambiguous class issues that standard machine learning approach tend to have difficulty resolving."
234,"[97][6]However, the computational complexity of these algorithms is dependent on the number of propositions (classes), and can lead to a much higher computation time when compared to other machine learning approaches.Rule-based models[edit]Main article:Rule-based machine learningRule-based machine learning (RBML) is a branch of machine learning that automatically discovers and learns 'rules' from data."
235,"It provides interpretable models, making it useful for decision-making in fields like healthcare, fraud detection, and cybersecurity."
236,"Key RBML techniques includeslearning classifier systems,[98]association rule learning,[99]artificial immune systems,[100]and other similar models."
237,"These methods extract patterns from data and evolve rules over time.Training models[edit]Typically, machine learning models require a high quantity of reliable data to perform accurate predictions."
238,"When training a machine learning model, machine learning engineers need to target and collect a large and representativesampleof data."
239,"Data from the training set can be as varied as acorpus of text, a collection of images,sensordata, and data collected from individual users of a service.Overfittingis something to watch out for when training a machine learning model."
240,Trained models derived from biased or non-evaluated data can result in skewed or undesired predictions.
241,"Biased models may result in detrimental outcomes, thereby furthering the negative impacts on society or objectives.Algorithmic biasis a potential result of data not being fully prepared for training."
242,"Machine learning ethics is becoming a field of study and, notably, becoming integrated within machine learning engineering teams.Federated learning[edit]Main article:Federated learningFederated learning is an adapted form ofdistributed artificial intelligenceto train machine learning models that decentralises the training process, allowing for users' privacy to be maintained by not needing to send their data to a centralised server."
243,This also increases efficiency by decentralising the training process to many devices.
244,"For example,Gboarduses federated machine learning to train search query prediction models on users' mobile phones without having to send individual searches back toGoogle."
245,"[101]Applications[edit]There are many applications for machine learning, including:AgricultureAnatomyAdaptive websiteAffective computingAstronomyAutomated decision-makingBankingBehaviorismBioinformaticsBrain–machine interfacesCheminformaticsCitizen ScienceClimate ScienceComputer networksComputer visionCredit-card frauddetectionData qualityDNA sequenceclassificationEconomicsFinancial data analysis[102]General game playingHandwriting recognitionHealthcareInformation retrievalInsuranceInternet frauddetectionInvestment management[103]Knowledge graph embeddingLinguisticsMachine learning controlMachine perceptionMachine translationMaterial EngineeringMarketingMedical diagnosisNatural language processingNatural language understandingOnline advertisingOptimisationRecommender systemsRobot locomotionSearch enginesSentiment analysisSequence miningSoftware engineeringSpeech recognitionStructural health monitoringSyntactic pattern recognitionTelecommunicationsTheorem provingTime-series forecastingTomographic reconstruction[104]User behaviour analyticsIn 2006, the media-services providerNetflixheld the first ""Netflix Prize"" competition to find a program to better predict user preferences and improve the accuracy of its existing Cinematch movie recommendation algorithm by at least 10%."
246,A joint team made up of researchers fromAT&T Labs-Research in collaboration with the teams Big Chaos and Pragmatic Theory built anensemble modelto win the Grand Prize in 2009 for $1 million.
247,"[105]Shortly after the prize was awarded, Netflix realised that viewers' ratings were not the best indicators of their viewing patterns (""everything is a recommendation"") and they changed their recommendation engine accordingly."
248,"[106]In 2010, an article inThe Wall Street Journalnoted the use of machine learning by Rebellion Research to predict the2008 financial crisis."
249,"[107]In 2012, co-founder ofSun Microsystems,Vinod Khosla, predicted that 80% of medical doctors jobs would be lost in the next two decades to automated machine learning medical diagnostic software."
250,"[108]In 2014, it was reported that a machine learning algorithm had been applied in the field of art history to study fine art paintings and that it may have revealed previously unrecognised influences among artists."
251,[109]In 2019Springer Naturepublished the first research book created using machine learning.
252,"[110]In 2020, machine learning technology was used to help make diagnoses and aid researchers in developing a cure for COVID-19."
253,[111]Machine learning was recently applied to predict the pro-environmental behaviour of travellers.
254,"[112]Recently, machine learning technology was also applied to optimise smartphone's performance and thermal behaviour based on the user's interaction with the phone."
255,"[113][114][115]When applied correctly, machine learning algorithms (MLAs) can utilise a wide range of company characteristics to predict stock returns withoutoverfitting."
256,"By employing effective feature engineering and combining forecasts, MLAs can generate results that far surpass those obtained from basic linear techniques likeOLS."
257,"[116]Recent advancements in machine learning have extended into the field of quantum chemistry, where novel algorithms now enable the prediction of solvent effects on chemical reactions, thereby offering new tools for chemists to tailor experimental conditions for optimal outcomes."
258,[117]Machine Learning is becoming a useful tool to investigate and predict evacuation decision-making in large-scale and small-scale disasters.
259,Different solutions have been tested to predict if and when householders decide to evacuate during wildfires and hurricanes.
260,[118][119][120]Other applications have been focusing on pre evacuation decisions in building fires.
261,"[121][122]Limitations[edit]Although machine learning has been transformative in some fields, machine-learning programs often fail to deliver expected results."
262,"[123][124][125]Reasons for this are numerous: lack of (suitable) data, lack of access to the data, data bias, privacy problems, badly chosen tasks and algorithms, wrong tools and people, lack of resources, and evaluation problems."
263,"[126]The ""black box theory"" poses another yet significant challenge."
264,"Black box refers to a situation where the algorithm or the process of producing an output is entirely opaque, meaning that even the coders of the algorithm cannot audit the pattern that the machine extracted from the data."
265,"[127]The House of Lords Select Committee, which claimed that such an ""intelligence system"" that could have a ""substantial impact on an individual's life"" would not be considered acceptable unless it provided ""a full and satisfactory explanation for the decisions"" it makes."
266,"[127]In 2018, a self-driving car fromUberfailed to detect a pedestrian, who was killed after a collision."
267,[128]Attempts to use machine learning in healthcare with theIBM Watsonsystem failed to deliver even after years of time and billions of dollars invested.
268,[129][130]Microsoft'sBing Chatchatbot has been reported to produce hostile and offensive response against its users.
269,[131]Machine learning has been used as a strategy to update the evidence related to a systematic review and increased reviewer burden related to the growth of biomedical literature.
270,"While it has improved with training sets, it has not yet developed sufficiently to reduce the workload burden without limiting the necessary sensitivity for the findings research itself."
271,"[132]Explainability[edit]Main article:Explainable artificial intelligenceExplainable AI (XAI), or Interpretable AI, or Explainable Machine Learning (XML), is artificial intelligence (AI) in which humans can understand the decisions or predictions made by the AI."
272,"[133]It contrasts with the ""black box"" concept in machine learning where even its designers cannot explain why an AI arrived at a specific decision."
273,"[134]By refining the mental models of users of AI-powered systems and dismantling their misconceptions, XAI promises to help users perform more effectively."
274,"XAI may be an implementation of the social right to explanation.Overfitting[edit]Main article:OverfittingThe blue line could be an example of overfitting a linear function due to random noise.Settling on a bad, overly complex theory gerrymandered to fit all the past training data is known as overfitting."
275,Many systems attempt to reduce overfitting by rewarding a theory in accordance with how well it fits the data but penalising the theory in accordance with how complex the theory is.
276,"[135]Other limitations and vulnerabilities[edit]Learners can also be disappointed by ""learning the wrong lesson""."
277,A toy example is that an image classifier trained only on pictures of brown horses and black cats might conclude that all brown patches are likely to be horses.
278,"[136]A real-world example is that, unlike humans, current image classifiers often do not primarily make judgments from the spatial relationship between components of the picture, and they learn relationships between pixels that humans are oblivious to, but that still correlate with images of certain types of real objects."
279,"Modifying these patterns on a legitimate image can result in ""adversarial"" images that the system misclassifies."
280,[137][138]Adversarial vulnerabilities can also result in nonlinear systems or from non-pattern perturbations.
281,"For some systems, it is possible to change the output by only changing a single adversarially chosen pixel."
282,[139]Machine learning models are often vulnerable to manipulation or evasion viaadversarial machine learning.
283,"[140]Researchers have demonstrated howbackdoorscan be placed undetectably into classifying (e.g., for categories ""spam"" and ""not spam"" of posts) machine learning models that are often developed or trained by third parties."
284,"Parties can change the classification of any input, including in cases for which a type ofdata/software transparencyis provided, possibly includingwhite-box access."
285,"[141][142][143]Model assessments[edit]Classification of machine learning models can be validated by accuracy estimation techniques like theholdoutmethod, which splits the data into a training and test set (conventionally 2/3 training set and 1/3 test set designation) and evaluates the performance of the training model on the test set."
286,"In comparison, the K-fold-cross-validationmethod randomly partitions the data into K subsets and then K experiments are performed each considering 1 subset for evaluation and the remaining K-1 subsets for training the model."
287,"In addition to the holdout and cross-validation methods,bootstrap, which samples n instances with replacement from the dataset, can be used to assess model accuracy."
288,"[144]In addition to overall accuracy, investigators frequently reportsensitivity and specificity, meaning true positive rate (TPR) and true negative rate (TNR), respectively."
289,"Similarly, investigators sometimes report thefalse positive rate(FPR) as well as thefalse negative rate(FNR)."
290,"However, these rates are ratios that fail to reveal their numerators and denominators.Receiver operating characteristic(ROC), along with the accompanying Area Under the ROC Curve (AUC), offer additional tools for classification model assessment."
291,Higher AUC is associated with a better performing model.
292,[145]Ethics[edit]This section is an excerpt fromEthics of artificial intelligence.
293,[edit]Theethicsofartificial intelligencecovers a broad range of topics within AI that are considered to have particular ethical stakes.
294,"[146]This includesalgorithmic biases,fairness,accountability, transparency, privacy, andregulation, particularly where systems influence or automate human decision-making."
295,"It also covers various emerging or potential future challenges such asmachine ethics(how to make machines that behave ethically),lethal autonomous weapon systems,arms racedynamics,AI safetyandalignment,technological unemployment, AI-enabledmisinformation,[147]how to treat certain AI systems if they have amoral status(AI welfare and rights),artificial superintelligenceandexistential risks."
296,"[146]Some application areas may also have particularly important ethical implications, likehealthcare, education, criminal justice, or the military.Bias[edit]Main article:Algorithmic biasDifferent machine learning approaches can suffer from different data biases."
297,A machine learning system trained specifically on current customers may not be able to predict the needs of new customer groups that are not represented in the training data.
298,"When trained on human-made data, machine learning is likely to pick up the constitutional and unconscious biases already present in society."
299,"[148]Systems that are trained on datasets collected with biases may exhibit these biases upon use (algorithmic bias), thus digitising cultural prejudices."
300,"[149]For example, in 1988, the UK'sCommission for Racial Equalityfound thatSt."
301,George's Medical Schoolhad been using a computer program trained from data of previous admissions staff and this program had denied nearly 60 candidates who were found to either be women or have non-European-sounding names.
302,[148]Using job hiring data from a firm with racist hiring policies may lead to a machine learning system duplicating the bias by scoring job applicants by similarity to previous successful applicants.
303,"[150][151]Another example includes predictive policing companyGeolitica's predictive algorithm that resulted in ""disproportionately high levels of over-policing in low-income and minority communities"" after being trained with historical crime data."
304,"[152]While responsiblecollection of dataand documentation of algorithmic rules used by a system is considered a critical part of machine learning, some researchers blame the lack of participation and representation of minority populations in the field of AI for machine learning's vulnerability to biases."
305,"[153]In fact, according to research carried out by the Computing Research Association in 2021, ""female faculty make up just 16.1%"" of all faculty members who focus on AI among several universities around the world."
306,"[154]Furthermore, among the group of ""new U.S. resident AI PhD graduates,"" 45% identified as white, 22.4% as Asian, 3.2% as Hispanic, and 2.4% as African American, which further demonstrates a lack of diversity in the field of AI."
307,[154]Language models learned from data have been shown to contain human-like biases.
308,"[155][156]Because human languages contain biases, machines trained on languagecorporawill necessarily also learn these biases."
309,"[157][158]In 2016, Microsoft testedTay, achatbotthat learned from Twitter, and it quickly picked up racist and sexist language."
310,"[159]In an experiment carried out byProPublica, aninvestigative journalismorganisation, a machine learning algorithm's insight into the recidivism rates among prisoners falsely flagged ""black defendants high risk twice as often as white defendants""."
311,"[152]In 2015, Google Photos once tagged a couple of black people as gorillas, which caused controversy."
312,"The gorilla label was subsequently removed, and in 2023, it still cannot recognise gorillas."
313,[160]Similar issues with recognising non-white people have been found in many other systems.
314,"[161]Because of such challenges, the effective use of machine learning may take longer to be adopted in other domains."
315,"[162]Concern forfairnessin machine learning, that is, reducing bias in machine learning and propelling its use for human good, is increasingly expressed by artificial intelligence scientists, includingFei-Fei Li, who said that ""[t]here's nothing artificial about AI."
316,"It's inspired by people, it's created by people, and—most importantly—it impacts people."
317,"It is a powerful tool we are only just beginning to understand, and that is a profound responsibility."
318,"""[163]Financial incentives[edit]There are concerns among health care professionals that these systems might not be designed in the public's interest but as income-generating machines."
319,"This is especially true in the United States, where there is a long-standing ethical dilemma of improving health care, but also increasing profits."
320,"For example, the algorithms could be designed to provide patients with unnecessary tests or medication in which the algorithm's proprietary owners hold stakes."
321,"There is potential for machine learning in health care to provide professionals with an additional tool to diagnose, medicate, and plan recovery paths for patients, but this requires these biases to be mitigated."
322,"[164]Hardware[edit]Since the 2010s, advances in both machine learning algorithms and computer hardware have led to more efficient methods for trainingdeep neural networks(a particular narrow subdomain of machine learning) that contain many layers of nonlinear hidden units."
323,"[165]By 2019, graphics processing units (GPUs), often with AI-specific enhancements, had displaced CPUs as the dominant method of training large-scale commercial cloud AI."
324,"[166]OpenAIestimated the hardware compute used in the largest deep learning projects fromAlexNet(2012) toAlphaZero(2017), and found a 300,000-fold increase in the amount of compute required, with a doubling-time trendline of 3.4 months."
325,[167][168]Tensor Processing Units (TPUs)[edit]Tensor Processing Units (TPUs)are specialised hardware accelerators developed byGooglespecifically for machine learning workloads.
326,"Unlike general-purposeGPUsandFPGAs, TPUs are optimised for tensor computations, making them particularly efficient for deep learning tasks such as training and inference."
327,They are widely used in Google Cloud AI services and large-scale machine learning models like Google's DeepMind AlphaFold and large language models.
328,TPUs leveragematrix multiplicationunits and high-bandwidth memory to accelerate computations while maintaining energy efficiency.
329,"[169]Since their introduction in 2016, TPUs have become a key component of AI infrastructure, especially in cloud-based environments.Neuromorphic computing[edit]Neuromorphic computingrefers to a class of computing systems designed to emulate the structure and functionality of biological neural networks."
330,These systems may be implemented through software-based simulations on conventional hardware or through specialised hardware architectures.
331,"[170]Physical neural networks[edit]Aphysical neural networkis a specific type of neuromorphic hardware that relies on electrically adjustable materials, such as memristors, to emulate the function ofneural synapses."
332,"The term ""physical neural network"" highlights the use of physical hardware for computation, as opposed to software-based implementations."
333,It broadly refers to artificial neural networks that use materials with adjustable resistance to replicate neural synapses.
334,"[171][172]Embedded machine learning[edit]Embedded machine learning is a sub-field of machine learning where models are deployed onembedded systemswith limited computing resources, such aswearable computers,edge devicesandmicrocontrollers."
335,"[173][174][175][176]Running models directly on these devices eliminates the need to transfer and store data on cloud servers for further processing, thereby reducing the risk of data breaches, privacy leaks and theft of intellectual property, personal data and business secrets."
336,"Embedded machine learning can be achieved through various techniques, such ashardware acceleration,[177][178]approximate computing,[179]and model optimisation."
337,"[180][181]Common optimisation techniques includepruning,quantisation,knowledge distillation, low-rank factorisation, network architecture search, and parameter sharing.Software[edit]Software suitescontaining a variety of machine learning algorithms include the following:Free and open-source software[edit]See also:Lists of open-source artificial intelligence softwareCaffeDeeplearning4jDeepSpeedELKIGoogle JAXInfer.NETJASPJubatusKerasKubeflowLightGBMMahoutMalletMicrosoft Cognitive ToolkitML.NETmlpackMXNetOpenNNOrangepandas (software)ROOT(TMVA with ROOT)scikit-learnShogunSpark MLlibSystemMLTheanoTensorFlowTorch/PyTorchWeka/MOAXGBoostYooreekaProprietary software with free and open-source editions[edit]KNIMERapidMinerProprietary software[edit]Amazon Machine LearningAngossKnowledgeSTUDIOAzure Machine LearningIBM Watson StudioGoogle Cloud Vertex AIGoogle Prediction APIIBM SPSS ModellerKXEN ModellerLIONsolverMathematicaMATLABNeural DesignerNeuroSolutionsOracle Data MiningOracle AI Platform Cloud ServicePolyAnalystRCASESAS Enterprise MinerSequenceLSplunkSTATISTICAData MinerJournals[edit]Journal of Machine Learning ResearchMachine LearningNature Machine IntelligenceNeural ComputationIEEE Transactions on Pattern Analysis and Machine IntelligenceConferences[edit]AAAI Conference on Artificial IntelligenceAssociation for Computational Linguistics (ACL)European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Databases (ECML PKDD)International Conference on Computational Intelligence Methods for Bioinformatics and Biostatistics (CIBB)International Conference on Machine Learning (ICML)International Conference on Learning Representations (ICLR)International Conference on Intelligent Robots and Systems (IROS)Conference on Knowledge Discovery and Data Mining (KDD)Conference on Neural Information Processing Systems (NeurIPS)See also[edit]Automated machine learning– Process of automating the application of machine learningBig data– Extremely large or complex datasetsDeep learning— branch of ML concerned withartificial neural networksDifferentiable programming– Programming paradigmList of datasets for machine-learning researchList of machine learning algorithmsandList of algorithms for machine learning and statistical classificationM-theory (learning framework)– Framework in machine learningMachine unlearning– Field of study in artificial intelligenceOutline of machine learningSolomonoff's theory of inductive inference– Mathematical theoryReferences[edit]^The definition ""without being explicitly programmed"" is often attributed toArthur Samuel, who coined the term ""machine learning"" in 1959, but the phrase is not found verbatim in this publication, and may be aparaphrasethat appeared later."
338,"Confer ""Paraphrasing Arthur Samuel (1959), the question is: How can computers learn to solve problems without being explicitly programmed?"""
339,"inKoza, John R.; Bennett, Forrest H.; Andre, David; Keane, Martin A."
340,(1996).
341,"""Automated Design of Both the Topology and Sizing of Analog Electrical Circuits Using Genetic Programming"".Artificial Intelligence in Design '96."
342,Artificial Intelligence in Design '96.
343,"Dordrecht, Netherlands: Springer Netherlands."
344,"pp.151–170.doi:10.1007/978-94-009-0279-4_9.ISBN978-94-010-6610-5.^abcBishop, C. M.(2006),Pattern Recognition and Machine Learning, Springer,ISBN978-0-387-31073-2^Machine learning and pattern recognition ""can be viewed as two facets of the same field""."
345,"[2]: vii^abFriedman, Jerome H.(1998)."
346,"""Data Mining and Statistics: What's the connection?"
347,""".Computing Science and Statistics.29(1):3–9.^Samuel, Arthur (1959)."
348,"""Some Studies in Machine Learning Using the Game of Checkers"".IBM Journal of Research and Development.3(3):210–229.CiteSeerX10.1.1.368.2254.doi:10.1147/rd.33.0210.S2CID2126705.^abR."
349,"Kohavi and F. Provost, ""Glossary of terms"", Machine Learning, vol."
350,"30, no."
351,"2–3, pp."
352,"271–274, 1998.^Gerovitch, Slava (9 April 2015)."
353,"""How the Computer Got Its Revenge on the Soviet Union"".Nautilus."
354,Archived fromthe originalon 22 September 2021.
355,"Retrieved19 September2021.^Lindsay, Richard P. (September 1964)."
356,"""The Impact of Automation On Public Administration"".Western Political Quarterly.17(3):78–81.doi:10.1177/106591296401700364.^abc""History and Evolution of Machine Learning: A Timeline"".WhatIs.Archivedfrom the original on 8 December 2023."
357,"Retrieved8 December2023.^Milner, Peter M. (1993)."
358,"""The Mind and Donald O. Hebb"".Scientific American.268(1):124–129.Bibcode:1993SciAm.268a.124M.doi:10.1038/scientificamerican0193-124.ISSN0036-8733.JSTOR24941344.PMID8418480.^""Science: The Goof Button"",Time, 18 August 1961.^Nilsson, Nils J."
359,(1965).Learning Machines.
360,"McGraw-Hill.^Duda, R., Hart P. Pattern Recognition and Scene Analysis, Wiley Interscience, 1973^S."
361,"Bozinovski, ""Teaching space: A representation concept for adaptive pattern classification"" COINS Technical Report No."
362,"81-28, Computer and Information Science Department, University of Massachusetts at Amherst, MA, 1981.https://web.cs.umass.edu/publication/docs/1981/UM-CS-1981-028.pdfArchived25 February 2021 at theWayback Machine^abMitchell, T. (1997).Machine Learning."
363,McGraw Hill.
364,"p. 2.ISBN978-0-07-042807-2.^Harnad, Stevan(2008),""The Annotation Game: On Turing (1950) on Computing, Machinery, and Intelligence"", in Epstein, Robert; Peters, Grace (eds."
365,"),The Turing Test Sourcebook: Philosophical and Methodological Issues in the Quest for the Thinking Computer, Kluwer, pp.23–66,ISBN978-1-4020-6708-2, archived fromthe originalon 9 March 2012, retrieved11 December2012^""Machine Learning Algorithms"".GeeksforGeeks."
366,17 August 2023.
367,"Retrieved3 September2025.^Goodfellow, Ian; Pouget-Abadie, Jean; Mirza, Mehdi (2014).Generative adversarial nets(PDF)."
368,"Advances in Neural Information Processing Systems 27 (2014).^Silver, David; Huang, Aja; Maddison, Christopher J."
369,(2016).
370,"""Mastering the game of Go with deep neural networks and tree search"".Nature.529(7587):484–489.Bibcode:2016Natur.529..484S.doi:10.1038/nature16961.PMID26819042.^Sindhu V, Nivedha S, Prakash M (February 2020)."
371,"""An Empirical Science Research on Bioinformatics in Machine Learning"".Journal of Mechanics of Continua and Mathematical Sciences(7).doi:10.26782/jmcms.spl.7/2020.02.00006.^Sarle, Warren S. (1994)."
372,"""Neural Networks and statistical models"".SUGI 19: proceedings of the Nineteenth Annual SAS Users Group International Conference."
373,SAS Institute.
374,"pp.1538–50.ISBN978-1-55544-611-6.OCLC35546178.^abcdRussell, Stuart;Norvig, Peter(2003) [1995].Artificial Intelligence: A Modern Approach(2nd ed.)."
375,"Prentice Hall.ISBN978-0137903955.^abLangley, Pat (2011)."
376,"""The changing science of machine learning"".Machine Learning.82(3):275–9.doi:10.1007/s10994-011-5242-y.^Mahoney, Matt."
377,"""Rationale for a Large Text Compression Benchmark""."
378,Florida Institute of Technology.
379,Archived fromthe originalon 18 August 2006.
380,Retrieved5 March2013.^Shmilovici A.; Kahiri Y.; Ben-Gal I.; Hauser S.
381,(2009).
382,"""Measuring the Efficiency of the Intraday Forex Market with a Universal Data Compression Algorithm""(PDF).Computational Economics.33(2):131–154.CiteSeerX10.1.1.627.3751.doi:10.1007/s10614-008-9153-3.S2CID17234503.Archived(PDF)from the original on 9 July 2009.^Ben-Gal, I."
383,(2008).
384,"""On the Use of Data Compression Measures to Analyze Robust Designs""(PDF).IEEE Transactions on Reliability.54(3):381–388.doi:10.1109/TR.2005.853280.S2CID9376086."
385,Archived fromthe original(PDF)on 26 September 2020.
386,Retrieved6 April2016.^D.
387,Scully;Carla E. Brodley(2006).
388,"""Compression and Machine Learning: A New Perspective on Feature Space Vectors"".Data Compression Conference (DCC'06)."
389,p. 332.doi:10.1109/DCC.2006.13.ISBN0-7695-2545-8.S2CID12311412.^Gary Adcock (5 January 2023).
390,"""What Is AI Video Compression?"".massive.io."
